murre;lat;lon
seto;58.1;27.54
seto;58.04;27.48
seto;57.96;27.46
seto;57.93;27.49
seto;57.96;27.52
seto;57.92;27.55
seto;57.9;27.53
seto;57.86;27.57
seto;57.83;27.55
seto;57.83;27.38
seto;57.81;27.36
seto;57.72;27.37
seto;57.7;27.4
seto;57.65;27.31
seto;57.6;27.29
seto;57.52;27.35
seto;57.54;27.53
seto;57.51;27.55
seto;57.53;27.7
seto;57.85;28.02
seto;57.85;27.94
seto;57.9;27.84
seto;57.94;27.86
seto;58.05;27.7
seto;58.06;27.63
seto;58.1;27.54
seto;NA;NA
võru;58.1;27.54
võru;58.04;27.48
võru;57.96;27.46
võru;57.93;27.49
võru;57.96;27.52
võru;57.92;27.55
võru;57.9;27.53
võru;57.86;27.57
võru;57.83;27.55
võru;57.83;27.38
võru;57.81;27.36
võru;57.72;27.37
võru;57.7;27.4
võru;57.65;27.31
võru;57.6;27.29
võru;57.52;27.35
võru;57.56;27.08
võru;57.6;27.02
võru;57.6;26.94
võru;57.63;26.9
võru;57.58;26.82
võru;57.55;26.62
võru;57.5;26.61
võru;57.54;26.57
võru;57.51;26.55
võru;57.51;26.49
võru;57.57;26.45
võru;57.57;26.3
võru;57.72;26.17
võru;57.77;26.01
võru;57.86;26.25
võru;57.83;26.42
võru;57.87;26.38
võru;57.94;26.41
võru;57.95;26.51
võru;58.05;26.57
võru;58.08;26.53
võru;58.12;26.6
võru;58.1;26.67
võru;58.08;26.68
võru;58.16;26.87
võru;58.09;27
võru;58.13;27.11
võru;58.2;27.11
võru;58.22;27.18
võru;58.17;27.2
võru;58.15;27.29
võru;58.23;27.35
võru;58.27;27.31
võru;58.31;27.35
võru;58.37;27.32
võru;58.39;27.35
võru;58.36;27.43
võru;58.35;27.4
võru;58.1;27.54
võru;NA;NA
ranna;59.46;24.82
ranna;59.53;24.78
ranna;59.56;24.81
ranna;59.54;24.87
ranna;59.49;24.93
ranna;59.51;25
ranna;59.48;25.17
ranna;59.54;25.13
ranna;59.52;25.26
ranna;59.49;25.3
ranna;59.49;25.43
ranna;59.52;25.45
ranna;59.52;25.53
ranna;59.55;25.55
ranna;59.6;25.48
ranna;59.64;25.51
ranna;59.56;25.66
ranna;59.58;25.7
ranna;59.62;25.66
ranna;59.66;25.68
ranna;59.64;25.74
ranna;59.57;25.79
ranna;59.58;25.85
ranna;59.61;25.86
ranna;59.61;25.92
ranna;59.57;25.95
ranna;59.61;25.99
ranna;59.62;26.03
ranna;59.58;26.1
ranna;59.59;26.25
ranna;59.55;26.29
ranna;59.51;26.54
ranna;59.55;26.58
ranna;59.53;26.72
ranna;59.5;26.72
ranna;59.44;26.88
ranna;59.39;26.82
ranna;59.32;26.87
ranna;59.3;26.77
ranna;59.26;26.83
ranna;59.23;26.75
ranna;59.46;26.48
ranna;59.44;26.45
ranna;59.51;26.32
ranna;59.56;25.86
ranna;59.45;25.23
ranna;59.46;24.82
ranna;NA;NA
kirde;58.99;27.73
kirde;59.23;27.89
kirde;59.3;28.04
kirde;59.28;28.13
kirde;59.36;28.21
kirde;59.47;28.02
kirde;59.41;27.97
kirde;59.39;27.83
kirde;59.41;27.71
kirde;59.42;27.56
kirde;59.45;27.38
kirde;59.43;27.06
kirde;59.44;26.88
kirde;59.39;26.82
kirde;59.32;26.87
kirde;59.3;26.77
kirde;59.26;26.83
kirde;59.23;26.82
kirde;59.21;26.91
kirde;59.16;26.92
kirde;59.16;26.99
kirde;59.13;27.1
kirde;58.99;27.22
kirde;59.01;27.56
kirde;58.99;27.73
kirde;NA;NA
tartu;57.77;26.01
tartu;57.86;26.25
tartu;57.83;26.42
tartu;57.87;26.38
tartu;57.94;26.41
tartu;57.95;26.51
tartu;58.05;26.57
tartu;58.08;26.53
tartu;58.12;26.6
tartu;58.1;26.67
tartu;58.08;26.68
tartu;58.16;26.87
tartu;58.09;27
tartu;58.13;27.11
tartu;58.2;27.11
tartu;58.22;27.18
tartu;58.17;27.2
tartu;58.15;27.29
tartu;58.23;27.35
tartu;58.27;27.31
tartu;58.31;27.35
tartu;58.37;27.32
tartu;58.39;27.35
tartu;58.39;27.28
tartu;58.45;27.22
tartu;58.44;27.19
tartu;58.45;27.11
tartu;58.43;27.11
tartu;58.47;27.01
tartu;58.49;26.84
tartu;58.45;26.81
tartu;58.47;26.72
tartu;58.45;26.65
tartu;58.47;26.58
tartu;58.41;26.47
tartu;58.4;26.35
tartu;58.43;26.33
tartu;58.42;26.19
tartu;58.36;26.15
tartu;58.33;26.15
tartu;58.33;26.14
tartu;58.32;26.14
tartu;58.3;26.14
tartu;58.27;26.13
tartu;58.24;26.14
tartu;58.23;26.13
tartu;58.22;26.11
tartu;58.2;26.09
tartu;58.17;26.08
tartu;58.14;26.08
tartu;58.11;26.08
tartu;58.1;26.07
tartu;58.09;26.06
tartu;57.98;26.05
tartu;57.85;26
tartu;57.77;26.01
tartu;NA;NA
ida;58.47;26.72
ida;58.45;26.81
ida;58.49;26.84
ida;58.47;27.01
ida;58.43;27.11
ida;58.45;27.11
ida;58.44;27.19
ida;58.45;27.22
ida;58.38;27.28
ida;58.6;27.2
ida;58.72;27.1
ida;58.81;26.93
ida;58.88;26.95
ida;58.96;27.08
ida;58.99;27.22
ida;59.13;27.1
ida;59.16;26.99
ida;59.16;26.9
ida;59.12;26.85
ida;59.08;26.89
ida;59.03;26.8
ida;58.98;26.79
ida;58.94;26.58
ida;58.86;26.53
ida;58.83;26.43
ida;58.76;26.39
ida;58.7;26.43
ida;58.69;26.37
ida;58.62;26.44
ida;58.61;26.52
ida;58.57;26.56
ida;58.54;26.66
ida;58.47;26.72
ida;NA;NA
lääne;58.1;25.1
lääne;58.02;24.99
lääne;57.97;24.82
lääne;57.97;24.78
lääne;57.97;24.74
lääne;57.96;24.74
lääne;57.94;24.69
lääne;57.96;24.63
lääne;57.94;24.61
lääne;57.96;24.57
lääne;57.92;24.46
lääne;57.87;24.45
lääne;57.87;24.34
lääne;58.05;24.46
lääne;58.14;24.47
lääne;58.21;24.45
lääne;58.31;24.58
lääne;58.37;24.5
lääne;58.39;24.41
lääne;58.38;24.29
lääne;58.34;24.27
lääne;58.27;24.26
lääne;58.26;24.17
lääne;58.23;24.1
lääne;58.32;23.98
lääne;58.34;23.76
lääne;58.53;23.66
lääne;58.55;23.48
lääne;58.66;23.54
lääne;58.71;23.65
lääne;58.74;23.74
lääne;58.75;23.75
lääne;58.78;23.7
lääne;58.79;23.65
lääne;58.77;23.58
lääne;58.78;23.54
lääne;58.76;23.45
lääne;58.79;23.46
lääne;58.81;23.51
lääne;58.88;23.44
lääne;58.94;23.44
lääne;58.94;23.53
lääne;58.96;23.61
lääne;59.01;23.62
lääne;59;23.56
lääne;58.97;23.54
lääne;58.99;23.44
lääne;59.03;23.41
lääne;59.07;23.43
lääne;59.09;23.51
lääne;59.08;23.53
lääne;59.21;23.48
lääne;59.22;23.52
lääne;59.22;23.6
lääne;59.22;23.59
lääne;59.18;23.61
lääne;59.15;23.68
lääne;59.11;23.64
lääne;59.12;23.74
lääne;59.08;23.86
lääne;59.12;23.74
lääne;59.08;23.86
lääne;59.12;23.85
lääne;59.14;23.99
lääne;59.12;24.1
lääne;59.07;24.15
lääne;59.03;24.1
lääne;59.01;24.13
lääne;59.03;24.2
lääne;59;24.3
lääne;59.03;24.42
lääne;58.96;24.56
lääne;58.95;24.48
lääne;58.92;24.55
lääne;58.85;24.59
lääne;58.83;24.69
lääne;58.75;24.68
lääne;58.73;24.78
lääne;58.76;24.86
lääne;58.85;24.94
lääne;58.89;25.19
lääne;58.85;25.26
lääne;58.81;25.19
lääne;58.77;25.22
lääne;58.73;25.2
lääne;58.71;25.3
lääne;58.66;25.29
lääne;58.62;25.24
lääne;58.57;25.25
lääne;58.56;25.16
lääne;58.43;25.03
lääne;58.42;24.98
lääne;58.36;24.97
lääne;58.33;25.03
lääne;58.28;25.29
lääne;58.25;25.26
lääne;58.23;25.11
lääne;58.2;25.13
lääne;58.18;25.08
lääne;58.15;25.12
lääne;58.14;25.18
lääne;58.1;25.1
lääne;NA;NA
kesk;58.47;26.72
kesk;58.45;26.65
kesk;58.47;26.58
kesk;58.41;26.47
kesk;58.4;26.35
kesk;58.43;26.33
kesk;58.42;26.19
kesk;58.36;26.15
kesk;58.39;26.11
kesk;58.39;26.1
kesk;58.4;26.07
kesk;58.4;26.05
kesk;58.4;26.03
kesk;58.4;26.02
kesk;58.4;26.01
kesk;58.4;25.99
kesk;58.4;25.98
kesk;58.4;26
kesk;58.35;25.84
kesk;58.28;25.78
kesk;58.33;25.7
kesk;58.3;25.56
kesk;58.34;25.48
kesk;58.33;25.34
kesk;58.28;25.29
kesk;58.33;25.03
kesk;58.36;24.97
kesk;58.42;24.98
kesk;58.43;25.03
kesk;58.56;25.16
kesk;58.57;25.25
kesk;58.62;25.24
kesk;58.66;25.29
kesk;58.71;25.3
kesk;58.73;25.2
kesk;58.77;25.22
kesk;58.81;25.19
kesk;58.85;25.26
kesk;58.89;25.19
kesk;58.85;24.94
kesk;58.76;24.86
kesk;58.73;24.78
kesk;58.75;24.68
kesk;58.83;24.69
kesk;58.85;24.59
kesk;58.92;24.55
kesk;58.95;24.48
kesk;58.96;24.56
kesk;59.03;24.42
kesk;59;24.3
kesk;59.03;24.2
kesk;59.01;24.13
kesk;59.03;24.1
kesk;59.07;24.15
kesk;59.12;24.1
kesk;59.14;23.99
kesk;59.12;23.85
kesk;59.08;23.86
kesk;59.12;23.74
kesk;59.08;23.86
kesk;59.12;23.74
kesk;59.11;23.64
kesk;59.15;23.68
kesk;59.18;23.61
kesk;59.22;23.59
kesk;59.24;23.66
kesk;59.24;23.74
kesk;59.27;23.73
kesk;59.27;23.76
kesk;59.29;23.81
kesk;59.26;23.94
kesk;59.28;24
kesk;59.27;24.08
kesk;59.32;24.11
kesk;59.36;24.03
kesk;59.39;24.03
kesk;59.37;24.13
kesk;59.33;24.21
kesk;59.37;24.23
kesk;59.4;24.19
kesk;59.4;24.24
kesk;59.42;24.35
kesk;59.46;24.34
kesk;59.47;24.42
kesk;59.44;24.53
kesk;59.46;24.58
kesk;59.43;24.67
kesk;59.47;24.69
kesk;59.43;24.81
kesk;59.46;24.82
kesk;59.45;25.23
kesk;59.56;25.86
kesk;59.51;26.32
kesk;59.44;26.45
kesk;59.46;26.48
kesk;59.23;26.75
kesk;59.26;26.83
kesk;59.23;26.82
kesk;59.21;26.91
kesk;59.16;26.92
kesk;59.16;26.99
kesk;59.16;26.9
kesk;59.12;26.85
kesk;59.08;26.89
kesk;59.03;26.8
kesk;58.98;26.79
kesk;58.94;26.58
kesk;58.86;26.53
kesk;58.83;26.43
kesk;58.76;26.39
kesk;58.7;26.43
kesk;58.69;26.37
kesk;58.62;26.44
kesk;58.61;26.52
kesk;58.57;26.56
kesk;58.54;26.66
kesk;58.47;26.72
kesk;NA;NA
mulgi;57.85;26
mulgi;57.85;25.96
mulgi;57.87;25.9
mulgi;57.84;25.81
mulgi;57.91;25.77
mulgi;57.93;25.72
mulgi;57.9;25.67
mulgi;57.94;25.58
mulgi;57.98;25.57
mulgi;57.97;25.55
mulgi;57.98;25.5
mulgi;57.98;25.46
mulgi;57.99;25.44
mulgi;58.01;25.45
mulgi;58.03;25.39
mulgi;58.03;25.35
mulgi;58.08;25.28
mulgi;58.07;25.26
mulgi;58.03;25.29
mulgi;58;25.29
mulgi;58;25.25
mulgi;58.09;25.19
mulgi;58.1;25.1
mulgi;58.1;25.1
mulgi;58.14;25.18
mulgi;58.15;25.12
mulgi;58.18;25.08
mulgi;58.2;25.13
mulgi;58.23;25.11
mulgi;58.25;25.26
mulgi;58.28;25.29
mulgi;58.33;25.34
mulgi;58.34;25.48
mulgi;58.3;25.56
mulgi;58.33;25.7
mulgi;58.28;25.78
mulgi;58.35;25.84
mulgi;58.4;25.99
mulgi;58.4;25.98
mulgi;58.4;25.97
mulgi;58.39;25.98
mulgi;58.39;25.97
mulgi;58.39;25.96
mulgi;58.38;25.96
mulgi;58.37;25.96
mulgi;58.36;25.96
mulgi;58.35;25.96
mulgi;58.34;25.96
mulgi;58.34;25.95
mulgi;58.34;25.94
mulgi;58.33;25.93
mulgi;58.33;25.92
mulgi;58.32;25.92
mulgi;58.31;25.91
mulgi;58.3;25.91
mulgi;58.29;25.91
mulgi;58.27;25.93
mulgi;58.27;25.94
mulgi;58.26;25.95
mulgi;58.25;25.96
mulgi;58.24;25.98
mulgi;58.23;25.99
mulgi;58.23;25.98
mulgi;58.22;25.98
mulgi;58.21;25.98
mulgi;58.21;25.99
mulgi;58.2;25.99
mulgi;58.19;26
mulgi;58.18;26.01
mulgi;58.19;26.01
mulgi;58.18;26.02
mulgi;58.19;26.02
mulgi;58.18;26.03
mulgi;58.17;26.04
mulgi;58.17;26.03
mulgi;58.15;26.03
mulgi;58.15;26.04
mulgi;58.15;26.05
mulgi;58.14;26.04
mulgi;58.13;26.04
mulgi;58.12;26.05
mulgi;58.11;26.06
mulgi;58.11;26.05
mulgi;58.11;26.05
mulgi;58.1;26.05
mulgi;58.1;26.06
mulgi;58.09;26.06
mulgi;57.98;26.05
mulgi;57.85;26
mulgi;NA;NA
lääne;58.95;23.31
lääne;58.95;23.29
lääne;58.97;23.26
lääne;58.98;23.23
lääne;58.98;23.21
lääne;58.96;23.21
lääne;58.97;23.18
lääne;58.96;23.18
lääne;58.96;23.17
lääne;58.95;23.16
lääne;58.96;23.15
lääne;58.97;23.15
lääne;58.97;23.16
lääne;59.01;23.11
lääne;59.02;23.11
lääne;59.03;23.12
lääne;59.03;23.12
lääne;59.05;23.16
lääne;59.03;23.24
lääne;59.02;23.24
lääne;59.02;23.26
lääne;59.02;23.28
lääne;59.03;23.3
lääne;59.02;23.31
lääne;59.03;23.32
lääne;58.98;23.38
lääne;58.97;23.37
lääne;58.98;23.33
lääne;58.97;23.32
lääne;58.97;23.28
lääne;58.96;23.29
lääne;58.95;23.31
lääne;NA;NA
saarte;59;22.7
saarte;58.99;22.8
saarte;59;22.84
saarte;58.97;22.91
saarte;58.95;22.94
saarte;58.94;22.94
saarte;58.91;22.98
saarte;58.88;23.02
saarte;58.83;23.07
saarte;58.82;23.03
saarte;58.84;22.98
saarte;58.84;22.94
saarte;58.83;22.91
saarte;58.8;22.86
saarte;58.77;22.81
saarte;58.79;22.75
saarte;58.8;22.73
saarte;58.77;22.7
saarte;58.77;22.72
saarte;58.72;22.68
saarte;58.69;22.65
saarte;58.69;22.57
saarte;58.71;22.49
saarte;58.72;22.47
saarte;58.73;22.5
saarte;58.75;22.46
saarte;58.77;22.47
saarte;58.79;22.44
saarte;58.8;22.45
saarte;58.85;22.43
saarte;58.89;22.37
saarte;58.89;22.32
saarte;58.88;22.31
saarte;58.89;22.27
saarte;58.88;22.24
saarte;58.87;22.19
saarte;58.89;22.14
saarte;58.9;22.12
saarte;58.92;22.04
saarte;58.94;22.05
saarte;58.94;22.08
saarte;58.94;22.14
saarte;58.93;22.23
saarte;58.94;22.27
saarte;58.95;22.32
saarte;58.93;22.39
saarte;58.96;22.41
saarte;58.96;22.46
saarte;58.99;22.43
saarte;58.99;22.46
saarte;58.98;22.49
saarte;59;22.49
saarte;59;22.48
saarte;59.02;22.48
saarte;59.03;22.52
saarte;59.09;22.57
saarte;59.08;22.58
saarte;59.08;22.61
saarte;59.07;22.69
saarte;59.01;22.69
saarte;59;22.7
saarte;NA;NA
saarte;58.24;22.46
saarte;58.21;22.42
saarte;58.21;22.32
saarte;58.18;22.25
saarte;58.13;22.26
saarte;58.09;22.25
saarte;58.07;22.22
saarte;58.05;22.22
saarte;58.01;22.18
saarte;57.98;22.19
saarte;57.92;22.06
saarte;57.91;22.02
saarte;57.95;21.98
saarte;57.98;21.99
saarte;57.98;22.02
saarte;58.03;22.05
saarte;58.09;22.1
saarte;58.06;22.16
saarte;58.11;22.18
saarte;58.14;22.22
saarte;58.15;22.19
saarte;58.18;22.07
saarte;58.25;21.98
saarte;58.22;22
saarte;58.31;21.82
saarte;58.3;21.89
saarte;58.35;21.99
saarte;58.46;21.89
saarte;58.51;21.91
saarte;58.5;22
saarte;58.41;22.08
saarte;58.42;22.11
saarte;58.5;22.13
saarte;58.51;22.2
saarte;58.55;22.2
saarte;58.53;22.23
saarte;58.48;22.25
saarte;58.49;22.3
saarte;58.57;22.29
saarte;58.58;22.48
saarte;58.64;22.54
saarte;58.58;22.62
saarte;58.6;22.69
saarte;58.58;22.74
saarte;58.63;22.79
saarte;58.61;22.94
saarte;58.55;23.13
saarte;58.51;23.15
saarte;58.44;23.31
saarte;58.43;23.22
saarte;58.45;23.15
saarte;58.39;23.07
saarte;58.35;23.03
saarte;58.37;22.95
saarte;58.3;22.92
saarte;58.3;22.84
saarte;58.26;22.81
saarte;58.27;22.71
saarte;58.25;22.7
saarte;58.22;22.74
saarte;58.21;22.7
saarte;58.24;22.62
saarte;58.2;22.58
saarte;58.24;22.53
saarte;58.21;22.5
saarte;58.24;22.46
saarte;NA;NA
saarte;58.57;23.39
saarte;58.54;23.39
saarte;58.53;23.37
saarte;58.51;23.38
saarte;58.5;23.36
saarte;58.51;23.34
saarte;58.52;23.35
saarte;58.53;23.33
saarte;58.54;23.32
saarte;58.53;23.3
saarte;58.54;23.26
saarte;58.52;23.23
saarte;58.54;23.19
saarte;58.54;23.19
saarte;58.57;23.14
saarte;58.57;23.12
saarte;58.6;23.06
saarte;58.62;23.08
saarte;58.62;23.13
saarte;58.63;23.14
saarte;58.67;23.13
saarte;58.68;23.18
saarte;58.65;23.31
saarte;58.64;23.35
saarte;58.62;23.35
saarte;58.61;23.34
saarte;58.58;23.37
saarte;58.57;23.39
saarte;NA;NA
saarte;58.13;24
saarte;58.12;24.01
saarte;58.12;24
saarte;58.11;24
saarte;58.11;23.99
saarte;58.1;23.99
saarte;58.1;23.97
saarte;58.09;23.97
saarte;58.11;23.95
saarte;58.13;23.95
saarte;58.15;23.96
saarte;58.15;24.01
saarte;58.15;24.02
saarte;58.14;24.01
saarte;58.13;24.01
saarte;58.13;24
saarte;NA;NA
saarte;57.82;23.23
saarte;57.81;23.26
saarte;57.8;23.27
saarte;57.79;23.27
saarte;57.78;23.26
saarte;57.78;23.23
saarte;57.78;23.21
saarte;57.79;23.21
saarte;57.8;23.21
saarte;57.81;23.22
saarte;57.81;23.21
saarte;57.82;23.21
saarte;57.82;23.23